id;quarteta;tema;subtema;zona d'ús;La sé;Vull aprendre-la;Llengua;Pujada per
1;"A mi em diuen bandereta,
jo li dic que té raó,
perquè totes les banderes
van davant la processó";General;;;Sí;;;
2;"Jo tenia un conill tort,
el cridava i no venia,
li vaig pegar un calxot,
pobre conill com corria";General;Animals;;Sí;;;
3;"La jota m’han dit que cante,
la jota jo no la sé,
si em poses un plat de xulles,
jo la jota cantaré.";Metageneres;;;Sí;;;
4;"Tens cara de haca flaca,
orelles de matxo vell,
tens la cara com l’asmèrla ,
i negra com l’antornell.";General;;La Ribera, PV;Sí;;;
5;"Una xica de Llaurí, 
diuen que té molta manya,
per a enflocar ratolins ,
i enviar-los a Favara.";General;Toponimia;La Ribera, PV;;;;
6;"I el que és fadrí, busca xica,
I el casat vol enviudar,
i el viudo són tot corruixes,
per a tornar-se a casar.";General;Toponimia;La Ribera, PV;;;;
7;"Per a xufes Alboraia,
pa taronjes Carcaixent,
i per a xiques boniques/alegres,
les que tinc ací present.";General;Toponimia;La Ribera, PV;;Sí;;
8;"Estes sis xiques que ballen
totes porten sabateta,
algun dia ne portaven
espardenyes sense veta.";;;;;Sí;;
9;"Si tinguera una taronja, 
jo pel mig la partiria, 
però com no tinc taronjes,
vos donaré la despedida.";Despedides;;;;;;
10;"La despedida vos done
i a la sombra d'una parra
que aço si es despedida
per parar una guitarra";Despedides;;;;Sí;;
11;"No vullguera despedir-me,
perquè m’agrada cantar,
però està fent-se de dia
i ja és hora d’acabar.";Despedides;;;;;;
12;"La despedida farem,
com la donem en Carcaixent,
salude a tots el borratxos,
salude a tota la gent.";Despedides;;;;;;
13;"L'última vos cantaré,
l'última ja estic cantant,
i qui no estiga conforme,
que se'n vaja a pastar fang.";Despedides;;;;;;
14;"Ja no cante més cançons,
 que la guitarra no sona,
 i me’n vaig poc a poquet,
 que ja és hora.";Despedides;;;;;;
15;"Les xiques del meu carrer,
totes broquen carasol,
per a brocar bé les lletres,
que quede bé els seu llançol.";General;Artesania;;;;;
16;"Quan vages a la Ribera,
no passes per Castelló
que en el temps de la faena
uns treballen, i âtres, no.";General;Toponimia;La Ribera, PV;Sí;;;
17;"Ta mare no em vol a mi,
perque no tinc fanecaes,
jo li torne la resposta,
com el seu fill a pataes.";Amor;Burla;La Ribera, PV;;;;
18;"En  este carrer esta,
la novia carabassera,
que m’ha donat carabassa ,
després de dormir en ella.";;;;;;;
19;"Les xiques del carrer nou ,
per a fer-se l’aixovar,
totes se volen casar ,
i no se’n casa ninguna.";;;;;;;
20;"En Cullera han mort un burro ,
En Llaurí se l’han menjat,
En Favara l’han fet trossos,
però tu no l’has tastat.";;;;;;;
21;"Quan vages a la Ribera,
no passes per Castelló,
que en el temps de la faena,
uns treballen, i âtres, no.";;;;;;;
22;"Y en la verja de la cárcel ,
tengo mi caballo atado,
tiene más gracia en el culo,
que ese mosso que ha cantado.";;Burla;;;;Castellà;
23;"A cantar mai vaig aprendre,,
perque el cantar no s’ensenya,
era qüestió d’atrevir-se,
mira ara quina festa.";;;;;;;suen99
24;"Lo primero que robé,
cuando me metí a bandolero,
fue el yugo de una campana,
y algun beso traicionero.";;;;;;;suen99
25;"La despedida vos done,
com el pruner a la pruna
que qui es despedix cantant
no s’endu pena ninguna";;;;;;;
26;"Malagueña malagueña,
siempre vas malagueñando,
que por una malagueña,
vas por el mundo penando.";Metagenere;;;;;;
27;"Ja no canta Evaristet,
A l’estil de la Ribera,
Perquè li han furtat la veu,
entre Sueca i Corbera.";General;Toponimia;La Ribera, PV;;;;
28;"Qui templa una guitarra,
també templa un guitarró,
i a la filla del meu sogre,
la toque si ella vol.";;;;;;;NoeliaTitana/Susana Diaz
29;"Eres eres i no eres,
eres eres i seràs,
eres l’auelo poala,
pero tu no hem poaràs.";General;;La Ribera, PV;;;;
30;"Me quisistes bien te quise,
me olvidaste te olvidé,
los dos tuvimos la culpa,
tu primero y yo después.";Amor;Desamor;;;;;
31;"Esta nit ha plogut,
 demà fangar,
 i el qui vinga de ronda,
 s'haurà d'espavilar.";Seguidilles;;;;;;
32;"Cullerots i culleres,
i morenillos,
no te fies dels homens,
que són uns pillos.";Seguidilles;;;;;;
33;"Ballen, ballen senyores,
que jo cantaré:
seguidilles, fandango,
i la jota també.";Seguidilles;;;;;;
34;"A ballar seguedilles,
ningú me guanya,
me les va ensenyar anit,
una gitana.";Seguidilles;;;;;;
35;"De Castelló a Almassora,
va un tren que vola,
i per això li diuen,
la Panderola.";Seguidilles;;;;;;
36;"Cada volta que canto,
les seguedilles,
me s’afluixen les cordes,
de les clavilles.";Seguidilles;;;;;;
37;"Esta noche ha llovido,
mañana barro,
pobre el carretero,
que va en el carro.";Seguidilles;;;;;Castellà;
38;"Si me miras me matas,
si no me muero ,
mírame vida mía,
que morir quiero.";Seguidilles;;;;;Castellà;
39;"En lo que canta un gallo,
me atrevo a darte,
más besos que pepitas
tiene un tomate.";Seguidilles;Prohibides;;;;Castellà;
40;"Del color del cachumbo,
tienes el culo,
que aunque no te lo he visto,
me lo figuro.";Seguidilles;Prohibides;;;;Castellà;
41;"La última seguidilla
y no canto otra
y al arrematar esta
paso a la jota";Seguidilles;mudar;;;;Castellà;
42;"Última seguedilla,
llevo en la boca,
porque las bailaoras
ya quieren la jota.";Seguidilles;mudar;;;;Castellà;
43;"Última seguidilla
 porte en la boca,
 i ara sí que me'n vaig
 tancant la porta";Seguidilles;Despedides;;;;;
44;"La despedida canto,
pa que no digan,
que se arremata el baile,
sin despedida.";Seguidilles;Despedides;;;;Castellà;
